"CUSTOMER_BUSINESS_ID","CUSTOMER_NAME","ADDRESS_LINE_1","CITY","POSTAL_CODE","STATE","ADDRESS_LINE_2","COUNTRY","COUNTY","CUSTOMER_FULL_DETAIL","PHONE","POSTALCODE_EXTENSION","IDENTIFIER_TYPE","IDENTIFIER_VALUE","ENRICHED_INDICATOR","CONFIDENCE_SCORE","VERIFICATION_MESSAGE","VERIFICATION_STATUS_CODE","ADDRESS_ROLE","CREATED_TIMESTAMP","UPDATED_TIMESTAMP"
"CUS000000488K","Clifford O Findlay Middle Sch","333 W. TROPICAL PARKWAY","N. LAS VEGAS","89031-1839","US-NV","","US",,"Clifford O Findlay Middle Sch 333 W. TROPICAL PARKWAY  N. LAS VEGAS US-NV 89031-1839 US",,,"HMH SFDC ID","23UV15CF89LP","VALID",0.9941108337,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":false,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"OFFICE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000488K","Clifford O Findlay Middle Sch","332 W. TROPICAL PARKWAY","N. LAS VEGAS","89031-1830","US-NV","","US",,"Clifford O Findlay Middle Sch 332 W. TROPICAL PARKWAY  N. LAS VEGAS US-NV 89031-1830 US",,,"NCES ID","PNRRVXJVXGL1","VALID",0.9833813636,"{""address_line_1"":false,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":false,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"WAREHOUSE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000488K","Clifford O Findlay Middle Sch","335 W. TROPICAL PARKWAY","N. LAS VEGAS","89031-183R","US-NV","","US",,"Clifford O Findlay Middle Sch 335 W. TROPICAL PARKWAY  N. LAS VEGAS US-NV 89031-183R US",,,"HMH ID","8ZD0LQ1MZ9K3","VALID",0.9771185643,"{""address_line_1"":false,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":false,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"SCHOOL","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000488K","Clifford O Findlay Middle Sch","334 W. TROPICAL PARKWAY","N. LAS VEGAS","89031-183R","US-NV","","US",,"Clifford O Findlay Middle Sch 334 W. TROPICAL PARKWAY  N. LAS VEGAS US-NV 89031-183R US",,,"HMH SFDC ID","4V8Z3ND73LP6","VALID",0.9766514696,"{""address_line_1"":false,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":false,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"OFFICE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000488K","Clifford O Findlay Middle Sch","333 W. TROPICAL PARKWAY","N. LAS VEGAS","89031-1834","US-NV","","US",,"Clifford O Findlay Middle Sch 333 W. TROPICAL PARKWAY  N. LAS VEGAS US-NV 89031-1834 US",,,"HMH Ref ID","5CQKP9XCO59A","VALID",1,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"SCHOOL","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000488K","Clifford O Findlay Middle Sch","332 W. TROPICAL PARKWAY","N. LAS VEGAS","89031-1834","US-NV","","US",,"Clifford O Findlay Middle Sch 332 W. TROPICAL PARKWAY  N. LAS VEGAS US-NV 89031-1834 US",,,"AgileEd ID","UJLC1L8B7K0M","VALID",0.9893897832,"{""address_line_1"":false,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"OFFICE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000175V","Oriole Park Branch Library","7454 W BALMORAL AVE","CHICAGO","60656-1755","US-IL","","US",,"Oriole Park Branch Library 7454 W BALMORAL AVE  CHICAGO US-IL 60656-1755 US",,,"AgileEd ID","25I67ZSOOUKI","VALID",1,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"SCHOOL","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000175V","Oriole Park Branch Library","7454 W BALMORAL AVE","CHICAGO","60656-1755","US-IL","","US",,"Oriole Park Branch Library 7454 W BALMORAL AVE  CHICAGO US-IL 60656-1755 US",,,"HMH ID","8X17COPO9MNL","VALID",1,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"WAREHOUSE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000175V","Oriole Park Branch Library","7454 W BALMORAL AVE","CHICAGO","60656-175Q","US-IL","","US",,"Oriole Park Branch Library 7454 W BALMORAL AVE  CHICAGO US-IL 60656-175Q US",,,"HMH Ref ID","HPII2MVV4DC0","VALID",0.9904901736,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":false,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"OFFICE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000175V","Oriole Park Branch Library","7454 W BALMORAL AVE","CHICAGO","60656-1755","US-IL","","US",,"Oriole Park Branch Library 7454 W BALMORAL AVE  CHICAGO US-IL 60656-1755 US",,,"HMH Ref ID","P672ZFBQBK4Y","VALID",1,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"SCHOOL","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000175V","Oriole Park Branch Library","7452 W BALMORAL AVE","CHICAGO","60656-175K","US-IL","","US",,"Oriole Park Branch Library 7452 W BALMORAL AVE  CHICAGO US-IL 60656-175K US",,,"SAP Customer Number","D9CBA7263RJK","VALID",0.9711252244,"{""address_line_1"":false,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":false,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"SCHOOL","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000175V","Oriole Park Branch Library","7454 W BALMORAL AVE","CHICAGO","60656-1755","US-IL","","US",,"Oriole Park Branch Library 7454 W BALMORAL AVE  CHICAGO US-IL 60656-1755 US",,,"NWEA SFDC ID","3KCVJXZDVYB4","VALID",1,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"SCHOOL","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS0000004757","Pima Junior High School","131 S MAIN","PIMA","85543","US-AZ","","US",,"Pima Junior High School 131 S MAIN  PIMA US-AZ 85543 US",,,"AgileEd ID","2EFHAZMIQ5PX","VALID",0.9999995014,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"WAREHOUSE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS0000004757","Pima Junior High School","131 S MAIN","PIMA","85543","US-AZ","","US",,"Pima Junior High School 131 S MAIN  PIMA US-AZ 85543 US",,,"NWEA SFDC ID","WMVYTSU2MSGQ","VALID",0.9999995014,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"OFFICE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000105X","Wyoming High School","106 PENDERY AVE","WYOMING","45215-2727","US-OH","","US",,"Wyoming High School 106 PENDERY AVE  WYOMING US-OH 45215-2727 US",,,"HMH Ref ID","RSVZ2E186GVG","VALID",1,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"SCHOOL","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000105X","Wyoming High School","107 PENDERY AVE","WYOMING","45215-2729","US-OH","","US",,"Wyoming High School 107 PENDERY AVE  WYOMING US-OH 45215-2729 US",,,"HMH Ref ID","HFU4B9SNTP8A","VALID",0.9956080223,"{""address_line_1"":false,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":false,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"WAREHOUSE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000105X","Wyoming High School","107 PENDERY AVE","WYOMING","45215-2727","US-OH","","US",,"Wyoming High School 107 PENDERY AVE  WYOMING US-OH 45215-2727 US",,,"HMH ID","FRL69VSYXBBF","VALID",0.996491677,"{""address_line_1"":false,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"OFFICE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000430Y","Pioneer Elementary School","3663 WOODLAND HILLS DR","COLORADO SPRINGS","80918-6366","US-CO","","US",,"Pioneer Elementary School 3663 WOODLAND HILLS DR  COLORADO SPRINGS US-CO 80918-6366 US",,,"SAP Customer Number","HM3J5UESL4PD","VALID",0.9999992579,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"WAREHOUSE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000430Y","Pioneer Elementary School","3663 WOODLAND HILLS DR","COLORADO SPRINGS","80918-6366","US-CO","","US",,"Pioneer Elementary School 3663 WOODLAND HILLS DR  COLORADO SPRINGS US-CO 80918-6366 US",,,"NCES ID","E50QYRZLZ72J","VALID",0.9999992579,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"SCHOOL","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000430Y","Pioneer Elementary School","3663 WOODLAND HILLS DR","COLORADO SPRINGS","80918-6366","US-CO","","US",,"Pioneer Elementary School 3663 WOODLAND HILLS DR  COLORADO SPRINGS US-CO 80918-6366 US",,,"NWEA SFDC ID","COMMN9TWN7GW","VALID",0.9999992579,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"WAREHOUSE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000430Y","Pioneer Elementary School","3663 WOODLAND HILLS DR","COLORADO SPRINGS","80918-6366","US-CO","","US",,"Pioneer Elementary School 3663 WOODLAND HILLS DR  COLORADO SPRINGS US-CO 80918-6366 US",,,"HMH Ref ID","17H4GYMRRQSR","VALID",0.9999992579,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"WAREHOUSE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000430Y","Pioneer Elementary School","3663 WOODLAND HILLS DR","COLORADO SPRINGS","80918-6366","US-CO","","US",,"Pioneer Elementary School 3663 WOODLAND HILLS DR  COLORADO SPRINGS US-CO 80918-6366 US",,,"HMH Ref ID","H2PH1DJVVH3T","VALID",0.9999992579,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"SCHOOL","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000430Y","Pioneer Elementary School","3663 WOODLAND HILLS DR","COLORADO SPRINGS","80918-6366","US-CO","","US",,"Pioneer Elementary School 3663 WOODLAND HILLS DR  COLORADO SPRINGS US-CO 80918-6366 US",,,"HMH SFDC ID","TKPREHVYRONA","VALID",0.9999992579,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"OFFICE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS0000003699","Southwest Tenn Cmty Clg-acon","5983 MACONwCV","MEMPHIS","38134-7642","US-TN","","US",,"Southwest Tenn Cmty Clg-acon, 5983 MACONwCV, MEMPHIS, US-TN, 38134-7642",,,"HMH Ref ID","TR1ZMSLD5TD0","ERROR",0.9049549634,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"OFFICE","2025-10-04 12:10:44.610",
"CUS000000463V","Athens High Schdool","501 WARRIOR WAY","ATHENS","62613-947S","US-IL","","US",,"Athens High Schdool, 501 WARRIOR WAY, ATHENS, US-IL, 62613-947S",,,"HMH SFDC ID","51MMP3CILSOI","ERROR",0.9095150199,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":false,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"OFFICE","2025-10-04 12:10:46.696",
"CUS000000517D","Ashby Ind School District 261","299 BIRCH AVE","ASHBY","56309-4718","US-MN","","US",,"Ashby Ind School District 261, 299 BIRCH AVE, ASHBY, US-MN, 56309-4718",,,"SAP Customer Number","Z28RGQ16UL07","VALID",0.9639422466,"{""address_line_1"":false,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"OFFICE","2025-10-04 12:10:47.285",
"CUS000000411F","Kindercare-Green Meadows","1815 GREENVIEW PL SW","ROCHESTER","55902-1077","US-MN","","US",,"Kindercare-Green Meadows, 1815 GREENVIEW PL SW, ROCHESTER, US-MN, 55902-1077",,,"SAP Customer Number","RS0Q0YGTBIYU","VALID",0.94927514,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"WAREHOUSE","2025-10-04 12:10:45.176",
"CUS000000251Z","Kingsland Academy","2715 CHAMBERLAYNE AVE","RICHMOND","23222-3503","US-VA","","US",,"Kingsland Academy, 2715 CHAMBERLAYNE AVE, RICHMOND, US-VA, 23222-3503",,,"HMH SFDC ID","J17NT6YRPVFZ","VALID",0.9073485,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"WAREHOUSE","2025-10-04 12:10:46.067",
"CUS000000209T","Little Guys and Gals Cc","4335 LARIMORE AVE","OMAHA","68111-216N","US-NE","","US",,"Little Guys and Gals Cc, 4335 LARIMORE AVE, OMAHA, US-NE, 68111-216N",,,"SAP Customer Number","HRRJO1K50EWD","VALID",0.92445517,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":false,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"OFFICE","2025-10-04 12:10:47.916",
"CUS000000198I","Ymca Sunshine Company Pre-Sch","2900 SEPULVEDA BLVD","TORRANCE","90505-2804","US-CA","","US",,"Ymca Sunshine Company Pre-Sch, 2900 SEPULVEDA BLVD, TORRANCE, US-CA, 90505-2804",,,"AgileEd ID","DEP6IHWUJZ4V","VALID",0.9653275,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"OFFICE","2025-10-04 12:10:48.491",
"CUS000000461T","Sunset Hills Elementary School","9504 WALNUT ST","OMAHA","68124-115L","US-NE","","US",,"Sunset Hills Elementary School, 9504 WALNUT ST, OMAHA, US-NE, 68124-115L",,,"HMH SFDC ID","S4EZMHETF6MT","VALID",0.9542143271,"{""address_line_1"":false,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":false,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"WAREHOUSE","2025-10-04 12:10:49.046",
"CUS0000014040","ROGERS PRIMARY SCH","705 SCOTT AVE","GLENSHAW","15116","PA",,"USA","ALLEGHENY","ROGERS PRIMARY SCH, 705 SCOTT AVE, GLENSHAW, PA, 15116","(412) 492-1200","NOT AVAILABLE","NWEA SFDC ID","3726Q4AM7BU6","VALID",0.9987422069,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"WAREHOUSE","2025-10-04 12:10:49.713",
"CUS000000054I","International School of London","GEORGE ROAD","KINGSTON UPON THAMES","KT2 7PW",,"","GB",,"International School of London, GEORGE ROAD, KINGSTON UPON THAMES, KT2 7PW",,,"HMH SFDC ID","A6WELS4JOK82","VALID",0.9612517653,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":false,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"SCHOOL","2025-10-04 19:02:09.232",
"CUS000000242Q","Centro Armonia Pre-School","531 W RINCON AVE","CAMPBELL","95008-2753","US-CA","","US",,"Centro Armonia Pre-School, 531 W RINCON AVE, CAMPBELL, US-CA, 95008-2753",,,"HMH SFDC ID","P0EUHN80FLPM","VALID",0.980362787,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"OFFICE","2025-10-04 19:02:09.908",
"CUS0000003644","Woolmarket Baptist Ch Pre-Sch","12816 LORRAINE RD","BILOXI","39532-9687","US-MS","","US",,"Woolmarket Baptist Ch Pre-Sch, 12816 LORRAINE RD, BILOXI, US-MS, 39532-9687",,,"HMH Ref ID","XKLCXK5FKBWK","VALID",0.9712135061,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":false,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"OFFICE","2025-10-04 19:02:10.687",
"CUS000000128K","Yaak School District 24","29893 YAAK RIVER RD","TROY","59935-8636","US-MT","","US",,"Yaak School District 24, 29893 YAAK RIVER RD, TROY, US-MT, 59935-8636",,,"NWEA SFDC ID","F2P49S297OFP","VALID",0.9786545577,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"WAREHOUSE","2025-10-04 19:02:12.094",
"CUS000000539Z","Pasadena Park Elem School","8508 E UPRIVER DR","SPOKANE","99212-1764","US-WA","","US",,"Pasadena Park Elem School, 8508 E UPRIVER DR, SPOKANE, US-WA, 99212-1764",,,"AgileEd ID","CJ93EF6X7NE5","VALID",0.9623044309,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"SCHOOL","2025-10-04 19:02:12.726",
"CUS000000035Z","Jennifer Pendley","9633 ADAMS ST","ELK GROVE","95624-230T","US-CA","","US",,"Jennifer Pendley, 9633 ADAMS ST, ELK GROVE, US-CA, 95624-230T",,,"SAP Customer Number","W58KMQOLWGQ8","VALID",0.958263518,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":false,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"SCHOOL","2025-10-04 19:02:13.833",
"CUS0000000459","Manchester Twp School District","121 DOUTE 539","WHITING","08759-1275","US-NJ","","US",,"Manchester Twp School District 121 DOUTE 539  WHITING US-NJ 08759-1275 US",,,"NWEA SFDC ID","DGBK2L0D1B4X","ERROR",0.9108951659,"{""address_line_1"":false,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"OFFICE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000132O","Fairview Elementary School","225 MAIl ST","FAIRVIEW","97024-3704","US-OR","","US",,"Fairview Elementary School 225 MAIl ST  FAIRVIEW US-OR 97024-3704 US",,,"HMH Ref ID","0K1IRBSSS7KN","ERROR",0.929856937,"{""address_line_1"":false,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"OFFICE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000133P","Richgand Library Southeast","7421 GARNERS FERRY RD","COLUMBIA","29209-2602","US-SC","","US",,"Richgand Library Southeast 7421 GARNERS FERRY RD  COLUMBIA US-SC 29209-2602 US",,,"NCES ID","TSGVB6THR3NK","ERROR",0.9264249313,"{""address_line_1"":true,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":""Identical match"",""state"":true}",,"SCHOOL","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
"CUS000000143Z","Kratz Elementary School","4301 EIDMUNDSON RD","SAINT LOUIS","63134-3909","US-MO","","US",,"Kratz Elementary School 4301 EIDMUNDSON RD  SAINT LOUIS US-MO 63134-3909 US",,,"HMH SFDC ID","GOOXUCR9C0TK","ERROR",0.9333300173,"{""address_line_1"":false,""address_line_2"":true,""city"":true,""country"":true,""county"":true,""name"":true,""phone"":true,""postal_code"":true,""postalcode_extension"":true,""reason"":"""",""state"":true}",,"WAREHOUSE","2025-10-02 16:36:47.394","2025-10-02 16:36:47.394"
