"X","Y","OBJECTID","NCESID","NAME","ADDRESS","CITY","STATE","ZIP","ZIP4","TELEPHONE","TYPE","STATUS","POPULATION","COUNTY","COUNTYFIPS","COUNTRY","LATITUDE","LONGITUDE","NAICS_CODE","NAICS_DESC","SOURCE","SOURCEDATE","VAL_METHOD","VAL_DATE","WEBSITE","LEVEL_","ENROLLMENT","ST_GRADE","END_GRADE","DISTRICTID","FT_TEACHER","SHELTER_ID","CUSTOMER_FULL_DATA","CUSTOMER_FULL_DETAIL"
-106.614674109999953,31.835315593000072,2012,350108000660,"SANTA TERESA MIDDLE","4800 MCNUTT RD","SANTA TERESA","NM",88008,"NOT AVAILABLE","(505) 882-6203",1,1,648,"DOÑA ANA",35013,"USA",31.8353155930001,-106.6146741100000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=350108000660","2010-01-29 00:00:00.000","IMAGERY","2010-05-25 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=350108000660","2",605,"07","08",3501080,43,"NOT AVAILABLE","SANTA TERESA MIDDLE 4800 MCNUTT RD SANTA TERESA NM 88008.00000","SANTA TERESA MIDDLE 4800 MCNUTT RD SANTA TERESA NM 88008.00000"
-108.732369248999987,35.521107061000066,2013,350111000304,"GALLUP MIDDLE","1001 SOUTH GRANDVIEW","GALLUP","NM",87301,"NOT AVAILABLE","(505) 721-1051",1,1,451,"MCKINLEY",35031,"USA",35.5211070610001,-108.7323692490000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=350111000304","2009-10-13 00:00:00.000","IMAGERY/OTHER","2016-08-15 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=350111000304","2",421,"06","08",3501110,30,"NOT AVAILABLE","GALLUP MIDDLE 1001 SOUTH GRANDVIEW GALLUP NM 87301.00000","GALLUP MIDDLE 1001 SOUTH GRANDVIEW GALLUP NM 87301.00000"
-74.011486736999984,40.648788271000043,2014,360009202041,"PS 1 BERGEN (THE)","309 47TH ST","BROOKLYN","NY",11220,"NOT AVAILABLE","(718) 567-7661",1,1,1364,"KINGS",36047,"USA",40.6487882710001,-74.0114867370000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=360009202041","2010-01-29 00:00:00.000","IMAGERY/OTHER","2010-05-13 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=360009202041","1",1272,"PK","05",3600092,92,"10824643","PS 1 BERGEN (THE) 309 47TH ST BROOKLYN NY 11220.00000","PS 1 BERGEN (THE) 309 47TH ST BROOKLYN NY 11220.00000"
-73.910967635999953,40.635370829000067,2015,360009602283,"IS 68 ISAAC BILDERSEE","956 E 82ND ST","BROOKLYN","NY",11236,"3831","(718) 241-4800",1,1,601,"KINGS",36047,"USA",40.6353708290001,-73.9109676360000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=360009602283","2009-10-13 00:00:00.000","IMAGERY/OTHER","2010-05-12 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=360009602283","2",555,"06","08",3600096,46,"NOT AVAILABLE","IS 68 ISAAC BILDERSEE 956 E 82ND ST BROOKLYN NY 11236.00000","IS 68 ISAAC BILDERSEE 956 E 82ND ST BROOKLYN NY 11236.00000"
-73.774420148999980,40.679970311000027,2016,360010002140,"PS 30","126-10 BEDELL ST","JAMAICA","NY",11434,"3141","(718) 276-8785",1,2,-999,"QUEENS",36081,"USA",40.6799703110000,-73.7744201490000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=360010002140","2009-10-13 00:00:00.000","IMAGERY/OTHER","2010-05-17 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=360010002140","N",-1,"04","05",3600100,-1,"NOT AVAILABLE","PS 30 126-10 BEDELL ST JAMAICA NY 11434.00000","PS 30 126-10 BEDELL ST JAMAICA NY 11434.00000"
-72.938649265999970,40.877232799000062,2017,361923004513,"LONGWOOD MIDDLE SCHOOL","41 YAPHNK-MID ISL RD","MIDDLE ISLAND","NY",11953,"2369","(631) 345-2736",1,1,1494,"SUFFOLK",36103,"USA",40.8772327990001,-72.9386492660000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=361923004513","2010-01-29 00:00:00.000","IMAGERY/OTHER","2010-07-20 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=361923004513","2",1410,"05","06",3619230,84,"10780309","LONGWOOD MIDDLE SCHOOL 41 YAPHNK-MID ISL RD MIDDLE ISLAND NY 11953.00000","LONGWOOD MIDDLE SCHOOL 41 YAPHNK-MID ISL RD MIDDLE ISLAND NY 11953.00000"
-73.581401511999957,43.105865053000059,2018,362616003602,"SCHUYLERVILLE HIGH SCHOOL","14 SPRING ST","SCHUYLERVILLE","NY",12871,"1098","(518) 695-3255",1,1,603,"SARATOGA",36091,"USA",43.1058650530001,-73.5814015120000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=362616003602","2010-01-29 00:00:00.000","IMAGERY","2010-06-10 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=362616003602","3",565,"09","12",3626160,38,"10775686","SCHUYLERVILLE HIGH SCHOOL 14 SPRING ST SCHUYLERVILLE NY 12871.00000","SCHUYLERVILLE HIGH SCHOOL 14 SPRING ST SCHUYLERVILLE NY 12871.00000"
-77.215036618999989,36.157982047000075,2019,370036000106,"WEST BERTIE ELEMENTARY","3734 GOVERNORS ROAD","KELFORD","NC",27847,"NOT AVAILABLE","(252) 344-7621",1,1,319,"BERTIE",37015,"USA",36.1579820470001,-77.2150366190000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=370036000106","2010-01-29 00:00:00.000","IMAGERY/OTHER","2010-06-23 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=370036000106","1",299,"PK","05",3700360,20,"NOT AVAILABLE","WEST BERTIE ELEMENTARY 3734 GOVERNORS ROAD KELFORD NC 27847.00000","WEST BERTIE ELEMENTARY 3734 GOVERNORS ROAD KELFORD NC 27847.00000"
-82.894870941999955,35.532563057000054,2020,370204000899,"CLYDE ELEMENTARY","4182 OLD CLYDE ROAD","CLYDE","NC",28721,"NOT AVAILABLE","(828) 627-2206",1,1,518,"HAYWOOD",37087,"USA",35.5325630570001,-82.8948709420000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=370204000899","2009-10-13 00:00:00.000","IMAGERY","2013-05-28 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=370204000899","1",481,"KG","05",3702040,37,"NOT AVAILABLE","CLYDE ELEMENTARY 4182 OLD CLYDE ROAD CLYDE NC 28721.00000","CLYDE ELEMENTARY 4182 OLD CLYDE ROAD CLYDE NC 28721.00000"
-84.254249214999959,39.769757130000073,2021,390438405102,"GARDENDALE ACADEMY","1733 N GETTYSBURG AVE","DAYTON","OH",45427,"3455","(937) 268-6636",1,2,-999,"MONTGOMERY",39113,"USA",39.7697571300001,-84.2542492150000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=390438405102","2009-10-13 00:00:00.000","IMAGERY/OTHER","2016-08-29 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=390438405102","N",-1,"01","12",3904384,-1,"NOT AVAILABLE","GARDENDALE ACADEMY 1733 N GETTYSBURG AVE DAYTON OH 45427.00000","GARDENDALE ACADEMY 1733 N GETTYSBURG AVE DAYTON OH 45427.00000"
-84.179711560999976,40.469036565000060,2022,390497603686,"BOTKINS ELEMENTARY SCHOOL","208 N SYCAMORE ST","BOTKINS","OH",45306,"0550","(937) 693-4241",1,1,363,"SHELBY",39149,"USA",40.4690365650001,-84.1797115610000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=390497603686","2009-10-13 00:00:00.000","IMAGERY/OTHER","2016-08-29 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=390497603686","1",363,"KG","06",3904976,-1,"10789083","BOTKINS ELEMENTARY SCHOOL 208 N SYCAMORE ST BOTKINS OH 45306.00000","BOTKINS ELEMENTARY SCHOOL 208 N SYCAMORE ST BOTKINS OH 45306.00000"
-83.652756380999946,41.034707381000025,2023,391000000948,"LINCOLN ELEMENTARY SCHOOL","200 W LINCOLN ST","FINDLAY","OH",45840,"3138","(419) 425-8310",1,1,395,"HANCOCK",39063,"USA",41.0347073810000,-83.6527563810000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=391000000948","2009-10-13 00:00:00.000","IMAGERY/OTHER","2016-08-26 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=391000000948","1",395,"KG","05",3910000,-1,"NOT AVAILABLE","LINCOLN ELEMENTARY SCHOOL 200 W LINCOLN ST FINDLAY OH 45840.00000","LINCOLN ELEMENTARY SCHOOL 200 W LINCOLN ST FINDLAY OH 45840.00000"
-122.607640425999989,45.451250852000037,2024,410883000085,"LEWELLING ELEMENTARY SCHOOL","5325 SE LOGUS RD","MILWAUKIE","OR",97222,"4299","(503) 353-5440",1,1,397,"CLACKAMAS",41005,"USA",45.4512508520000,-122.6076404260000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=410883000085","2010-01-29 00:00:00.000","IMAGERY/OTHER","2010-08-02 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=410883000085","1",380,"KG","05",4108830,17,"NOT AVAILABLE","LEWELLING ELEMENTARY SCHOOL 5325 SE LOGUS RD MILWAUKIE OR 97222.00000","LEWELLING ELEMENTARY SCHOOL 5325 SE LOGUS RD MILWAUKIE OR 97222.00000"
-71.494975527999941,41.446589911000039,2025,440102000265,"SOUTH KINGSTOWN HIGH","215 COLUMBIA STREET","WAKEFIELD","RI",2879,"NOT AVAILABLE","(401) 360-1000",1,1,1128,"WASHINGTON",44009,"USA",41.4465899110000,-71.4949755279999,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=440102000265","2010-01-29 00:00:00.000","IMAGERY","2010-04-01 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=440102000265","3",1042,"09","12",4401020,86,"10818763","SOUTH KINGSTOWN HIGH 215 COLUMBIA STREET WAKEFIELD RI 2879.00000","SOUTH KINGSTOWN HIGH 215 COLUMBIA STREET WAKEFIELD RI 2879.00000"
-103.549921974999947,44.211443201000051,2026,464130001145,"LEAD-DEADWOOD CAREER & TECH. ED. - 10","22023 JOB CORPS CTR","NEMO","SD",57759,"NOT AVAILABLE","(605) 578-2371",4,1,125,"LAWRENCE",46081,"USA",44.2114432010001,-103.5499219750000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=464130001145","2010-01-29 00:00:00.000","GEOCODE","2010-08-24 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=464130001145","3",111,"09","12",4641300,14,"NOT AVAILABLE","LEAD-DEADWOOD CAREER & TECH. ED. - 10 22023 JOB CORPS CTR NEMO SD 57759.00000","LEAD-DEADWOOD CAREER & TECH. ED. - 10 22023 JOB CORPS CTR NEMO SD 57759.00000"
-86.684897949999936,35.964685844000023,2027,470453002098,"SUNSET MIDDLE SCHOOL","200 SUNSET TR","BRENTWOOD","TN",37027,"NOT AVAILABLE","(615) 472-5020",1,1,899,"WILLIAMSON",47187,"USA",35.9646858440000,-86.6848979499999,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=470453002098","2010-01-29 00:00:00.000","IMAGERY/OTHER","2010-07-07 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=470453002098","2",851,"06","08",4704530,48,"NOT AVAILABLE","SUNSET MIDDLE SCHOOL 200 SUNSET TR BRENTWOOD TN 37027.00000","SUNSET MIDDLE SCHOOL 200 SUNSET TR BRENTWOOD TN 37027.00000"
-96.738858180999955,32.808610315000067,2028,480008908160,"LUMIN LINDSLEY PARK COMMUNITY SCHOOL","7130 LINDSLEY AVE","DALLAS","TX",75223,"1138","(214) 321-9155",1,1,286,"DALLAS",48113,"USA",32.8086103150001,-96.7388581810000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=480008908160","2010-01-29 00:00:00.000","IMAGERY","2010-03-26 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=480008908160","1",272,"PK","03",4800089,14,"NOT AVAILABLE","LUMIN LINDSLEY PARK COMMUNITY SCHOOL 7130 LINDSLEY AVE DALLAS TX 75223.00000","LUMIN LINDSLEY PARK COMMUNITY SCHOOL 7130 LINDSLEY AVE DALLAS TX 75223.00000"
-97.536398882999947,25.952745289000060,2029,481168012099,"KELLER EL","2540 W ALTON GLOOR","BROWNSVILLE","TX",78520,"NOT AVAILABLE","(956) 547-4400",1,1,729,"CAMERON",48061,"USA",25.9527452890001,-97.5363988829999,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=481168012099","2011-08-04 00:00:00.000","GEOCODE","2013-05-28 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=481168012099","1",686,"PK","05",4811680,43,"NOT AVAILABLE","KELLER EL 2540 W ALTON GLOOR BROWNSVILLE TX 78520.00000","KELLER EL 2540 W ALTON GLOOR BROWNSVILLE TX 78520.00000"
-95.899639150000000,33.246590578000045,2030,481482008669,"SUMMITT HOUSE","3315 WASHINGTON ST","COMMERCE","TX",75428,"NOT AVAILABLE","(903) 886-3764",4,1,2,"HUNT",48231,"USA",33.2465905780001,-95.8996391500000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=481482008669","2010-01-29 00:00:00.000","GEOCODE","2017-10-31 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=481482008669","4",0,"KG","12",4814820,2,"NOT AVAILABLE","SUMMITT HOUSE 3315 WASHINGTON ST COMMERCE TX 75428.00000","SUMMITT HOUSE 3315 WASHINGTON ST COMMERCE TX 75428.00000"
-97.390782066999975,32.873272037000042,2031,481770011869,"NORTHBROOK EL","2500 CANTRELL SANSOM RD","FORT WORTH","TX",76131,"NOT AVAILABLE","(817) 232-0086",1,1,695,"TARRANT",48439,"USA",32.8732720370000,-97.3907820670000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=481770011869","2010-01-29 00:00:00.000","GEOCODE","2017-10-31 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=481770011869","1",653,"PK","05",4817700,42,"NOT AVAILABLE","NORTHBROOK EL 2500 CANTRELL SANSOM RD FORT WORTH TX 76131.00000","NORTHBROOK EL 2500 CANTRELL SANSOM RD FORT WORTH TX 76131.00000"
-95.185569134000000,29.841029785000039,2032,482025006973,"HIGHPOINT SCHOOL EAST (DAEP)","8003 E SAM HOUSTON PKWY, N HY 90","HOUSTON","TX",77049,"2305","(281) 459-1190",4,1,9,"HARRIS",48201,"USA",29.8410297850000,-95.1855691340000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=482025006973","2010-01-29 00:00:00.000","IMAGERY/OTHER","2010-03-19 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=482025006973","3",9,"08","12",4820250,-1,"NOT AVAILABLE","HIGHPOINT SCHOOL EAST (DAEP) 8003 E SAM HOUSTON PKWY, N HY 90 HOUSTON TX 77049.00000","HIGHPOINT SCHOOL EAST (DAEP) 8003 E SAM HOUSTON PKWY, N HY 90 HOUSTON TX 77049.00000"
-77.155540865999967,38.918485953000079,2033,510126000448,"CHESTERBROOK ELEM","1753 KIRBY RD","MCLEAN","VA",22101,"NOT AVAILABLE","(703) 714-8200",1,1,734,"FAIRFAX",51059,"USA",38.9184859530001,-77.1555408660000,611110,"ELEMENTARY AND SECONDARY SCHOOLS","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=510126000448","2009-10-13 00:00:00.000","IMAGERY/OTHER","2010-05-20 00:00:00.000","http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=510126000448","1",692,"PK","06",5101260,42,"NOT AVAILABLE","CHESTERBROOK ELEM 1753 KIRBY RD MCLEAN VA 22101.00000","CHESTERBROOK ELEM 1753 KIRBY RD MCLEAN VA 22101.00000"
