"CUSTOMER_BUSINESS_ID","CUSTOMER_NAME","ADDRESS_LINE_1","CITY","POSTAL_CODE","STATE","ADDRESS_LINE_2","COUNTRY","COUNTY","CUSTOMER_FULL_DETAIL","PHONE","POSTALCODE_EXTENSION"
"CUS000000011B","Franklin High School","100 PANTHER DR","FRANKLIN","28734-2785","US-NC","","US",,"Franklin High School, 100 PANTHER DR, FRANKLIN, US-NC, 28734-2785",,
"CUS000000012C","San Antonio School","67550 LOCKWOOD/JOLON RD","LOCKWOOD","93932-5000","US-CA","","US",,"San Antonio School, 67550 LOCKWOOD/JOLON RD, LOCKWOOD, US-CA, 93932-5000",,
"CUS000000013D","Ecole Primaire Larocque","910 RUE LAROCQUE","SHERBROOKE","J1H 4R6","CA-QC","","CA",,"Ecole Primaire Larocque, 910 RUE LAROCQUE, SHERBROOKE, CA-QC, J1H 4R6",,
"CUS000000014E","Ross Early Learning Center","601 MCFERRIN AVE","NASHVILLE","37206-3521","US-TN","","US",,"Ross Early Learning Center, 601 MCFERRIN AVE, NASHVILLE, US-TN, 37206-3521",,
"CUS000000015F","Minnedosa Adlt Learning Centre","PO BOX 1170","MINNEDOSA","R0J 1E0","CA-MB","","CA",,"Minnedosa Adlt Learning Centre, PO BOX 1170, MINNEDOSA, CA-MB, R0J 1E0",,
"CUS000000016G","Macomb Intermediate Sch Dist","44001 GARFIELD RD","CLINTON TOWNSHIP","48038-1100","US-MI","","US",,"Macomb Intermediate Sch Dist, 44001 GARFIELD RD, CLINTON TOWNSHIP, US-MI, 48038-1100",,
"CUS000000017H","Lakeshore High School","1 TITAN TRCE","MANDEVILLE","70448-7418","US-LA","","US",,"Lakeshore High School, 1 TITAN TRCE, MANDEVILLE, US-LA, 70448-7418",,
"CUS000000018I","Rio Lindo Adventist Academy","3200 RIO LINDO AVE","HEALDSBURG","95448-9411","US-CA","","US",,"Rio Lindo Adventist Academy, 3200 RIO LINDO AVE, HEALDSBURG, US-CA, 95448-9411",,
"CUS000000019J","Leroy-Ostrander School","406 W MAIN ST","LE ROY","55951-6750","US-MN","","US",,"Leroy-Ostrander School, 406 W MAIN ST, LE ROY, US-MN, 55951-6750",,
"CUS000000020K","Glasscock County Ind Sch District","240 BEARKAT LN","GARDEN CITY","79739-2103","US-TX","","US",,"Glasscock County Ind Sch District, 240 BEARKAT LN, GARDEN CITY, US-TX, 79739-2103",,
"CUS000000021L","Iowa Ctrl Cmty Clg-Storm Lake","916 RUSSELL ST","STORM LAKE","50588-2018","US-IA","","US",,"Iowa Ctrl Cmty Clg-Storm Lake, 916 RUSSELL ST, STORM LAKE, US-IA, 50588-2018",,
"CUS000000022M","Muskegon Correctional Fac","2400 S SHERIDAN DR","MUSKEGON","49442-6240","US-MI","","US",,"Muskegon Correctional Fac, 2400 S SHERIDAN DR, MUSKEGON, US-MI, 49442-6240",,
"CUS000000023N","Perth Amboy High School","300 EAGLE AVE","PERTH AMBOY","08861-2711","US-NJ","","US",,"Perth Amboy High School, 300 EAGLE AVE, PERTH AMBOY, US-NJ, 08861-2711",,
"CUS000000024O","Coral Springs Middle School","10300 WILES RD","CORAL SPRINGS","33076-2003","US-FL","","US",,"Coral Springs Middle School, 10300 WILES RD, CORAL SPRINGS, US-FL, 33076-2003",,
"CUS000000025P","Woodford County Public Schools","330 PISGAH PIKE","VERSAILLES","40383-9214","US-KY","","US",,"Woodford County Public Schools, 330 PISGAH PIKE, VERSAILLES, US-KY, 40383-9214",,
"CUS000000026Q","Forest Avenue School","287 FOREST AVE","GLEN RIDGE","07028-1818","US-NJ","","US",,"Forest Avenue School, 287 FOREST AVE, GLEN RIDGE, US-NJ, 07028-1818",,
"CUS000000027R","University Park Creative Arts","2400 HILDEBRAND ST","CHARLOTTE","28216-4443","US-NC","","US",,"University Park Creative Arts, 2400 HILDEBRAND ST, CHARLOTTE, US-NC, 28216-4443",,
"CUS000000028S","Paynesville Area Schools","217 W MILL ST","PAYNESVILLE","56362-1444","US-MN","","US",,"Paynesville Area Schools, 217 W MILL ST, PAYNESVILLE, US-MN, 56362-1444",,
"CUS000000029T","Bella Beauty College-South","623 W BEN WHITE BLVD","AUSTIN","78704-7031","US-TX","","US",,"Bella Beauty College-South, 623 W BEN WHITE BLVD, AUSTIN, US-TX, 78704-7031",,
"CUS000000030U","Terra Linda Elementary School","1998 NW 143RD AVE","PORTLAND","97229-4304","US-OR","","US",,"Terra Linda Elementary School, 1998 NW 143RD AVE, PORTLAND, US-OR, 97229-4304",,
"CUS000000031V","Belle Vernon Area School Dist","270 CREST AVE","BELLE VERNON","15012-4200","US-PA","","US",,"Belle Vernon Area School Dist, 270 CREST AVE, BELLE VERNON, US-PA, 15012-4200",,
"CUS000000032W","Life University","995 ROSWELL ST NE","MARIETTA","30060-2151","US-GA","","US",,"Life University, 995 ROSWELL ST NE, MARIETTA, US-GA, 30060-2151",,
"CUS000000033X","Chatfield Elementary School","11555 HILLSIDE DR SE","CHATFIELD","55923-1485","US-MN","","US",,"Chatfield Elementary School, 11555 HILLSIDE DR SE, CHATFIELD, US-MN, 55923-1485",,
"CUS000000034Y","Santa Fe Community College","6401 S RICHARDS AVE","SANTA FE","87508-4887","US-NM","","US",,"Santa Fe Community College, 6401 S RICHARDS AVE, SANTA FE, US-NM, 87508-4887",,
"CUS000000035Z","Jennifer Pendley","9633 ADAMS ST","ELK GROVE","95624-2304","US-CA","","US",,"Jennifer Pendley, 9633 ADAMS ST, ELK GROVE, US-CA, 95624-2304",,
"CUS0000000360","Greenville Elementary School","W6822 GREENRIDGE DR","GREENVILLE","54942-9645","US-WI","","US",,"Greenville Elementary School, W6822 GREENRIDGE DR, GREENVILLE, US-WI, 54942-9645",,
"CUS0000000371","Freeport High School","50 S BROOKSIDE AVE","FREEPORT","11520-3144","US-NY","","US",,"Freeport High School, 50 S BROOKSIDE AVE, FREEPORT, US-NY, 11520-3144",,
"CUS0000000382","Kenton Middle School","300 ORIENTAL ST","KENTON","43326-1670","US-OH","","US",,"Kenton Middle School, 300 ORIENTAL ST, KENTON, US-OH, 43326-1670",,
"CUS0000000393","New Creations Christian School","6412 NATIONAL RD E","RICHMOND","47374-2627","US-IN","","US",,"New Creations Christian School, 6412 NATIONAL RD E, RICHMOND, US-IN, 47374-2627",,
"CUS0000000404","Grafton Public Schools","30 PROVIDENCE ROAD","GRAFTON","01519-1511","US-MA","","US",,"Grafton Public Schools, 30 PROVIDENCE ROAD, GRAFTON, US-MA, 01519-1511",,
"CUS0000000415","Mt Garfield Middle School","3475 FRONT ST","CLIFTON","81520-8405","US-CO","","US",,"Mt Garfield Middle School, 3475 FRONT ST, CLIFTON, US-CO, 81520-8405",,
"CUS0000000426","Calvert Elementary School","79 BRICK MEETING HOUSE RD","RISING SUN","21911-1704","US-MD","","US",,"Calvert Elementary School, 79 BRICK MEETING HOUSE RD, RISING SUN, US-MD, 21911-1704",,
"CUS0000000437","Gause Ind School District","400 COLLEGE STREET","GAUSE","77857-7334","US-TX","","US",,"Gause Ind School District, 400 COLLEGE STREET, GAUSE, US-TX, 77857-7334",,
"CUS0000000448","Herbert Hoover High School","651 GLENWOOD RD","GLENDALE","91202-1552","US-CA","","US",,"Herbert Hoover High School, 651 GLENWOOD RD, GLENDALE, US-CA, 91202-1552",,
"CUS0000000459","Manchester Twp School District","121 ROUTE 539","WHITING","08759-1275","US-NJ","","US",,"Manchester Twp School District, 121 ROUTE 539, WHITING, US-NJ, 08759-1275",,
"CUS000000046A","Berean Christian Academy","3060 MOODY AVE","ORANGE PARK","32065-6805","US-FL","","US",,"Berean Christian Academy, 3060 MOODY AVE, ORANGE PARK, US-FL, 32065-6805",,
"CUS000000047B","Vernon College-Sheppard","426 5TH AVE STE 8","SHEPPARD AFB","76311","US-TX","","US",,"Vernon College-Sheppard, 426 5TH AVE STE 8, SHEPPARD AFB, US-TX, 76311",,
"CUS000000048C","Stephenson Jr Sr High School","W526 DIVISION ST","STEPHENSON","49887-5105","US-MI","","US",,"Stephenson Jr Sr High School, W526 DIVISION ST, STEPHENSON, US-MI, 49887-5105",,
"CUS000000049D","Utah County Academy of Sciences","940 W 800 S","OREM","84058-5915","US-UT","","US",,"Utah County Academy of Sciences, 940 W 800 S, OREM, US-UT, 84058-5915",,
"CUS000000050E","Yew Wah Intl Education School","???9YANTAI ECONOMIC AND TECH","???","264006",,"","CN",,"Yew Wah Intl Education School, ???9YANTAI ECONOMIC AND TECH, ???, 264006",,
"CUS000000051F","Edward E Drew Middle School","501 CAMBRIDGE ST","FALMOUTH","22405-1421","US-VA","","US",,"Edward E Drew Middle School, 501 CAMBRIDGE ST, FALMOUTH, US-VA, 22405-1421",,
"CUS000000052G","Loyola Elementary School","1801 LUDLAM DR","MIAMI SPRINGS","33166-3165","US-FL","","US",,"Loyola Elementary School, 1801 LUDLAM DR, MIAMI SPRINGS, US-FL, 33166-3165",,
"CUS000000053H","Harford Hills Elem School","8902 OLD HARFORD RD","BALTIMORE","21234-2646","US-MD","","US",,"Harford Hills Elem School, 8902 OLD HARFORD RD, BALTIMORE, US-MD, 21234-2646",,
"CUS000000054I","International School of London","GEORGE ROAD","KINGSTON UPON THAMES","KT2 7PE",,"","GB",,"International School of London, GEORGE ROAD, KINGSTON UPON THAMES, KT2 7PE",,
"CUS000000055J","Canyon View Elementary School","5725 N SABINO CANYON RD","TUCSON","85750-0958","US-AZ","","US",,"Canyon View Elementary School, 5725 N SABINO CANYON RD, TUCSON, US-AZ, 85750-0958",,
"CUS000000056K","El Rodeo Elementary School","624 N REXFORD DR","BEVERLY HILLS","90210-3312","US-CA","","US",,"El Rodeo Elementary School, 624 N REXFORD DR, BEVERLY HILLS, US-CA, 90210-3312",,
"CUS000000057L","Northfield Elementary School","9125 NORTHFIELD RD","ELLICOTT CITY","21042-5998","US-MD","","US",,"Northfield Elementary School, 9125 NORTHFIELD RD, ELLICOTT CITY, US-MD, 21042-5998",,
"CUS000000058M","Wall Township Public Schools","1620 18TH AVE","WALL TOWNSHIP","07719-3744","US-NJ","","US",,"Wall Township Public Schools, 1620 18TH AVE, WALL TOWNSHIP, US-NJ, 07719-3744",,
"CUS000000059N","Central Dewitt Cmty Sch Dist","331 E 8TH ST","DE WITT","52742-1736","US-IA","","US",,"Central Dewitt Cmty Sch Dist, 331 E 8TH ST, DE WITT, US-IA, 52742-1736",,
"CUS000000060O","Renaissance Cs at Chickasaw","8203 VALENCIA COLLEGE LN","ORLANDO","32825-3242","US-FL","","US",,"Renaissance Cs at Chickasaw, 8203 VALENCIA COLLEGE LN, ORLANDO, US-FL, 32825-3242",,
"CUS000000061P","Lincoln-Bassett Cmty School","130 BASSETT ST","NEW HAVEN","06511-1879","US-CT","","US",,"Lincoln-Bassett Cmty School, 130 BASSETT ST, NEW HAVEN, US-CT, 06511-1879",,
"CUS000000062Q","Fred Weibel Elementary School","45135 S GRIMMER BLVD","FREMONT","94539-6631","US-CA","","US",,"Fred Weibel Elementary School, 45135 S GRIMMER BLVD, FREMONT, US-CA, 94539-6631",,
"CUS000000063R","Southside Elementary School","100 ACADEMIC DR","MORRISON","61270-2954","US-IL","","US",,"Southside Elementary School, 100 ACADEMIC DR, MORRISON, US-IL, 61270-2954",,
"CUS000000064S","Europa Language School","CHAUSSEE DE WATERLOO 717A","BRUSSELS","1000",,"","BE",,"Europa Language School, CHAUSSEE DE WATERLOO 717A, BRUSSELS, 1000",,
"CUS000000065T","Hazlehurst City Sch District","119 ROBERT MCDANIEL DR","HAZLEHURST","39083-4601","US-MS","","US",,"Hazlehurst City Sch District, 119 ROBERT MCDANIEL DR, HAZLEHURST, US-MS, 39083-4601",,
"CUS000000066U","Wilma Upchurch Elementary Sch","8686 S 165TH ST","OMAHA","68136-1355","US-NE","","US",,"Wilma Upchurch Elementary Sch, 8686 S 165TH ST, OMAHA, US-NE, 68136-1355",,
"CUS000000067V","Aberdeen School District 6-1","640 9TH AVE SW","ABERDEEN","57401-5802","US-SD","","US",,"Aberdeen School District 6-1, 640 9TH AVE SW, ABERDEEN, US-SD, 57401-5802",,
"CUS000000068W","Lynnwood Elementary School","8 REGINA DR","SCHENECTADY","12303-5437","US-NY","","US",,"Lynnwood Elementary School, 8 REGINA DR, SCHENECTADY, US-NY, 12303-5437",,
"CUS000000069X","Gravette Upper Elementary Sch","500 8TH AVE SE","GRAVETTE","72736-8742","US-AR","","US",,"Gravette Upper Elementary Sch, 500 8TH AVE SE, GRAVETTE, US-AR, 72736-8742",,
"CUS000000070Y","Corning Union High School","643 BLACKBURN AVE","CORNING","96021-2299","US-CA","","US",,"Corning Union High School, 643 BLACKBURN AVE, CORNING, US-CA, 96021-2299",,
"CUS000000071Z","Corning Union High School","643 BLACKBURN AVE","CORNING","96021-2216","US-CA","","US",,"Corning Union High School, 643 BLACKBURN AVE, CORNING, US-CA, 96021-2216",,
"CUS0000000720","Phelps Luck Elementary School","5370 OLD STONE CT","COLUMBIA","21045-2499","US-MD","","US",,"Phelps Luck Elementary School, 5370 OLD STONE CT, COLUMBIA, US-MD, 21045-2499",,
"CUS0000000731","Capt Samuel Douglass Academy","24 TOWNSEND HILL RD","BROOKLINE","03033-2013","US-NH","","US",,"Capt Samuel Douglass Academy, 24 TOWNSEND HILL RD, BROOKLINE, US-NH, 03033-2013",,
"CUS0000000742","Mountain Park Elem School","1500 POUNDS RD SW","LILBURN","30047-6708","US-GA","","US",,"Mountain Park Elem School, 1500 POUNDS RD SW, LILBURN, US-GA, 30047-6708",,
"CUS0000000753","Ecole Saint Joseph","616 RUE SAINT-GEORGES","SAINT-JEROME","J7Z 5B9","CA-QC","","CA",,"Ecole Saint Joseph, 616 RUE SAINT-GEORGES, SAINT-JEROME, CA-QC, J7Z 5B9",,
"CUS0000000764","Bonita Country Day School","625 OTAY LAKES RD","CHULA VISTA","91913-1006","US-CA","","US",,"Bonita Country Day School, 625 OTAY LAKES RD, CHULA VISTA, US-CA, 91913-1006",,
"CUS0000000775","Lsia Language Center Gjirokaster","VILA PAPAVANGJELI","GJIROKASTER","",,"","AL",,"Lsia Language Center Gjirokaster, VILA PAPAVANGJELI, GJIROKASTER",,
"CUS0000000786","Granville T Woods Acad-Innov","3824 AUSTIN PEAY HWY","MEMPHIS","38128-3722","US-TN","","US",,"Granville T Woods Acad-Innov, 3824 AUSTIN PEAY HWY, MEMPHIS, US-TN, 38128-3722",,
"CUS0000000797","Deretchin Elementary School","11000 MERIT OAKS DR","THE WOODLANDS","77382-1455","US-TX","","US",,"Deretchin Elementary School, 11000 MERIT OAKS DR, THE WOODLANDS, US-TX, 77382-1455",,
"CUS0000000808","Oologah Upper Elem School","10700 S HIGHWAY 169","OOLOGAH","74053-3346","US-OK","","US",,"Oologah Upper Elem School, 10700 S HIGHWAY 169, OOLOGAH, US-OK, 74053-3346",,
"CUS0000000819","Hunley Park Elementary School","1000 MICHIGAN AVE","CHARLESTON AFB","29404-2020","US-SC","","US",,"Hunley Park Elementary School, 1000 MICHIGAN AVE, CHARLESTON AFB, US-SC, 29404-2020",,
"CUS000000082A","Wakonda Elementary School","4845 CURTIS AVE","OMAHA","68104-1300","US-NE","","US",,"Wakonda Elementary School, 4845 CURTIS AVE, OMAHA, US-NE, 68104-1300",,
"CUS000000083B","Edward E Drew Middle School","501 CAMBRIDGE ST","FREDERICKSBURG","22405-1421","US-VA","","US",,"Edward E Drew Middle School, 501 CAMBRIDGE ST, FREDERICKSBURG, US-VA, 22405-1421",,
"CUS000000084C","Hunley Park Elementary School","1000 MICHIGAN AVE","CHARLESTON","29404-2020","US-SC","","US",,"Hunley Park Elementary School, 1000 MICHIGAN AVE, CHARLESTON, US-SC, 29404-2020",,
"CUS000000085D","Rosemary Kennedy School","2850 N JERUSALEM RD","WANTAGH","11793-1125","US-NY","","US",,"Rosemary Kennedy School, 2850 N JERUSALEM RD, WANTAGH, US-NY, 11793-1125",,
"CUS000000086E","Ingalls Jr Sr High School","100 BULLDOG DR","INGALLS","67853-9111","US-KS","","US",,"Ingalls Jr Sr High School, 100 BULLDOG DR, INGALLS, US-KS, 67853-9111",,
"CUS000000087F","Estes Hills Elementary School","500 N ESTES DR","CHAPEL HILL","27514-7100","US-NC","","US",,"Estes Hills Elementary School, 500 N ESTES DR, CHAPEL HILL, US-NC, 27514-7100",,
"CUS000000088G","Eagle Point Elementary School","1044 WESTERN AVE","ALBANY","12203","US-NY","","US",,"Eagle Point Elementary School, 1044 WESTERN AVE, ALBANY, US-NY, 12203",,
"CUS000000089H","Fayetteville Creative Pre-Sch","57 W COLT SQUARE DR","FAYETTEVILLE","72703-2814","US-AR","","US",,"Fayetteville Creative Pre-Sch, 57 W COLT SQUARE DR, FAYETTEVILLE, US-AR, 72703-2814",,
"CUS000000090I","St Pauls Cath Church","208 LERAY ST","BLACK RIVER","13612-2130","US-NY","","US",,"St Pauls Cath Church, 208 LERAY ST, BLACK RIVER, US-NY, 13612-2130",,
"CUS000000091J","Kings College Bookstore","322 LAMAR AVE","CHARLOTTE","28204-2436","US-NC","","US",,"Kings College Bookstore, 322 LAMAR AVE, CHARLOTTE, US-NC, 28204-2436",,
"CUS000000092K","Child Care Aware West Central","101 VESTA ST S","COSMOS","56228-6004","US-MN","","US",,"Child Care Aware West Central, 101 VESTA ST S, COSMOS, US-MN, 56228-6004",,
"CUS000000093L","West Fargo Public Library","311 1ST AVE E","WEST FARGO","58078-1924","US-ND","","US",,"West Fargo Public Library, 311 1ST AVE E, WEST FARGO, US-ND, 58078-1924",,
"CUS000000094M","Western Brown High School","476 W MAIN ST","MOUNT ORAB","45154-9452","US-OH","","US",,"Western Brown High School, 476 W MAIN ST, MOUNT ORAB, US-OH, 45154-9452",,
"CUS000000095N","Western Brown High School","476 W MAIN ST","MOUNT ORAB","45154-9452","US-OH","","US",,"Western Brown High School, 476 W MAIN ST, MOUNT ORAB, US-OH, 45154-9452",,
"CUS000000096O","Guardian Angel Orthodox School","2350 E DEMPSTER ST","DES PLAINES","60016-4839","US-IL","","US",,"Guardian Angel Orthodox School, 2350 E DEMPSTER ST, DES PLAINES, US-IL, 60016-4839",,
"CUS000000097P","Uinta County School District 6","126 N FRANKLIN ST","LYMAN","82937","US-WY","","US",,"Uinta County School District 6, 126 N FRANKLIN ST, LYMAN, US-WY, 82937",,
"CUS000000098Q","Thompson School Dist","800 S TAFT AVE","LOVELAND","80537-6347","US-CO","","US",,"Thompson School Dist, 800 S TAFT AVE, LOVELAND, US-CO, 80537-6347",,
"CUS000000099R","Colegio Nuevo Continente","CALLE NICOLAS SAN JUAN # 1147","BENITO JUAREZ","03100",,"","MX",,"Colegio Nuevo Continente, CALLE NICOLAS SAN JUAN # 1147, BENITO JUAREZ, 03100",,
"CUS000000100S","Ps 246 Poe Center","NY","BRONX","10468-4497",,"","US",,"Ps 246 Poe Center, NY, BRONX, 10468-4497",,
"CUS000000101T","Central Dewitt Cmty Sch Dist","PO BOX 110","DE WITT","52742-0110","US-IA","","US",,"Central Dewitt Cmty Sch Dist, PO BOX 110, DE WITT, US-IA, 52742-0110",,
"CUS000000102U","Nassau County School District","1201 ATLANTIC AVE","FERNANDINA","32034-3403","US-FL","","US",,"Nassau County School District, 1201 ATLANTIC AVE, FERNANDINA, US-FL, 32034-3403",,
"CUS000000103V","Dundee Elementary Academy","415 E FREDERICK AVE","DUNDEE","33838-4224","US-FL","","US",,"Dundee Elementary Academy, 415 E FREDERICK AVE, DUNDEE, US-FL, 33838-4224",,
"CUS000000104W","Cayala Learning Academy","AVE B, 0-88, ZONA 15, VH2 19","GUATEMALA","01015",,"","GT",,"Cayala Learning Academy, AVE B, 0-88, ZONA 15, VH2 19, GUATEMALA, 01015",,
"CUS000000105X","Wyoming High School","106 PENDERY AVE","WYOMING","45215-2727","US-OH","","US",,"Wyoming High School, 106 PENDERY AVE, WYOMING, US-OH, 45215-2727",,
"CUS000000106Y","Cei Language School","BANGBAE-DONG 788-59","SEOCHO-GU","137-060",,"","KR",,"Cei Language School, BANGBAE-DONG 788-59, SEOCHO-GU, 137-060",,
"CUS000000107Z","Ponchatoula Junior High School","315 E OAK ST","PONCHATOULA","70454-2632","US-LA","","US",,"Ponchatoula Junior High School, 315 E OAK ST, PONCHATOULA, US-LA, 70454-2632",,
"CUS0000001080","Ponchatoula Junior High School","315 E OAK ST","PONCHATOULA","70454-2632","US-LA","","US",,"Ponchatoula Junior High School, 315 E OAK ST, PONCHATOULA, US-LA, 70454-2632",,
"CUS0000001091","Alexander Elementary School","20 ROBERT FROST DR","HAMILTON","08690-2331","US-NJ","","US",,"Alexander Elementary School, 20 ROBERT FROST DR, HAMILTON, US-NJ, 08690-2331",,
"CUS0000001102","Lincoln-Bassett Cmty School","130 BASSETT ST","NEW HAVEN","06511-1879","US-CT","","US",,"Lincoln-Bassett Cmty School, 130 BASSETT ST, NEW HAVEN, US-CT, 06511-1879",,
"CUS0000001113","Southside Elementary School","100 ACADEMIC DR","MORRISON","61270-2954","US-IL","","US",,"Southside Elementary School, 100 ACADEMIC DR, MORRISON, US-IL, 61270-2954",,
"CUS0000001124","St Francis Desales School","622 S OAKWOOD AVE","BECKLEY","25801-5928","US-WV","","US",,"St Francis Desales School, 622 S OAKWOOD AVE, BECKLEY, US-WV, 25801-5928",,
"CUS0000001135","St Francis Desales School","622 S OAKWOOD AVE","BECKLEY","25801-5928","US-WV","","US",,"St Francis Desales School, 622 S OAKWOOD AVE, BECKLEY, US-WV, 25801-5928",,
"CUS0000001146","Lindsay Community Day","290 N HARVARD AVE","LINDSAY","93247-2304","US-CA","","US",,"Lindsay Community Day, 290 N HARVARD AVE, LINDSAY, US-CA, 93247-2304",,
"CUS0000001157","Maquoketa Middle School","200 E LOCUST ST","MAQUOKETA","52060-2800","US-IA","","US",,"Maquoketa Middle School, 200 E LOCUST ST, MAQUOKETA, US-IA, 52060-2800",,
"CUS0000001168","Seale Junior High School","401 E AVENUE G","ROBSTOWN","78380-2701","US-TX","","US",,"Seale Junior High School, 401 E AVENUE G, ROBSTOWN, US-TX, 78380-2701",,
"CUS0000001179","Torrington City School Dist","355 MIGEON AVE","TORRINGTON","06790-4822","US-CT","","US",,"Torrington City School Dist, 355 MIGEON AVE, TORRINGTON, US-CT, 06790-4822",,
"CUS000000118A","William V Wright Elem School","8425 BOB FISK AVE","LAS VEGAS","89178-8604","US-NV","","US",,"William V Wright Elem School, 8425 BOB FISK AVE, LAS VEGAS, US-NV, 89178-8604",,
"CUS000000119B","Caryl Rainey","7606 DUNFIELD AVE","LOS ANGELES","90045-1343","US-CA","","US",,"Caryl Rainey, 7606 DUNFIELD AVE, LOS ANGELES, US-CA, 90045-1343",,
"CUS000000120C","Embry-Riddle Aero U-Moody","PMB 152","MOODY AFB","31699-0001","US-GA","","US",,"Embry-Riddle Aero U-Moody, PMB 152, MOODY AFB, US-GA, 31699-0001",,
"CUS000000121D","Rudy Gelnett Memorial Library","1 N HIGH ST STE 1","SELINSGROVE","17870-1548","US-PA","","US",,"Rudy Gelnett Memorial Library, 1 N HIGH ST STE 1, SELINSGROVE, US-PA, 17870-1548",,
"CUS000000122E","Wyoming High School","106 PENDERY AVE","WYOMING","45215-2798","US-OH","","US",,"Wyoming High School, 106 PENDERY AVE, WYOMING, US-OH, 45215-2798",,
"CUS000000123F","Wyoming High School","106 PENDERY AVE","CINCINNATI","45215-2798","US-OH","","US",,"Wyoming High School, 106 PENDERY AVE, CINCINNATI, US-OH, 45215-2798",,
"CUS000000124G","West Lawn Elementary School","3022 COLLEGE ST","GRAND ISLAND","68803-1749","US-NE","","US",,"West Lawn Elementary School, 3022 COLLEGE ST, GRAND ISLAND, US-NE, 68803-1749",,
"CUS000000125H","Concordia University","7400 AUGUSTA ST","RIVER FOREST","60305-1402","US-IL","","US",,"Concordia University, 7400 AUGUSTA ST, RIVER FOREST, US-IL, 60305-1402",,
"CUS000000126I","Mountain View Elem Mid School","620 SCHOOL ST","UNION","24983","US-WV","","US",,"Mountain View Elem Mid School, 620 SCHOOL ST, UNION, US-WV, 24983",,
"CUS000000127J","English Bookshop","TUMMELPLATZ 7","GRAZ","8010",,"","AT",,"English Bookshop, TUMMELPLATZ 7, GRAZ, 8010",,
"CUS000000128K","Yaak School District 24","29893 YAAK RIVER RD","TROY","59935-8636","US-MT","","US",,"Yaak School District 24, 29893 YAAK RIVER RD, TROY, US-MT, 59935-8636",,
"CUS000000129L","Inglewood Heights Jr Pub Sch","45 DEMPSTER ST","SCARBOROUGH","M1T 2T6","CA-ON","","CA",,"Inglewood Heights Jr Pub Sch, 45 DEMPSTER ST, SCARBOROUGH, CA-ON, M1T 2T6",,
"CUS000000130M","East Capital High School","6330 CAPITOL DR","WHEELING","60090-6483","US-IL","","US",,"East Capital High School, 6330 CAPITOL DR, WHEELING, US-IL, 60090-6483",,
"CUS000000131N","Edison High School","21400 MAGNOLIA ST","HUNTINGTN BCH","92646-6306","US-CA","","US",,"Edison High School, 21400 MAGNOLIA ST, HUNTINGTN BCH, US-CA, 92646-6306",,
"CUS000000132O","Fairview Elementary School","225 MAIN ST","FAIRVIEW","97024-3704","US-OR","","US",,"Fairview Elementary School, 225 MAIN ST, FAIRVIEW, US-OR, 97024-3704",,
"CUS000000133P","Richland Library Southeast","7421 GARNERS FERRY RD","COLUMBIA","29209-2602","US-SC","","US",,"Richland Library Southeast, 7421 GARNERS FERRY RD, COLUMBIA, US-SC, 29209-2602",,
